__file,__sheet,机房,设备,total_series,anomaly_series,max_knn,anomaly_ratio
1-J301电池室放电电池数据表.xlsx,DC10,咸阳秦都西咸数据中心1号楼J301电力电池机房,10#开关电源蓄电池组,48,17,9.491740532417369,0.3541666666666667
1-J301电池室放电电池数据表.xlsx,DC5,咸阳秦都西咸数据中心1号楼J301电力电池机房,05#开关电源蓄电池组,48,10,1.7068174488998928,0.20833333333333334
1-J301电池室放电电池数据表.xlsx,DC9,咸阳秦都西咸数据中心1号楼J301电力电池机房,09#开关电源蓄电池组,48,9,8.7037189502576,0.1875
1-D203电池室放电电池数据表.xlsx,DC2,咸阳秦都西咸数据中心1号楼D203电力电池机房,2#开关电源蓄电池组,48,9,3.6314854107215235,0.1875
1-J301电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼J301电力电池机房,06#开关电源蓄电池组,48,9,2.3208729157069694,0.1875
1-D203电池室放电电池数据表.xlsx,DC5,咸阳秦都西咸数据中心1号楼D203电力电池机房,5#开关电源蓄电池组,48,8,2.3802827655700822,0.16666666666666666
1-J301电池室放电电池数据表.xlsx,DC12,咸阳秦都西咸数据中心1号楼J301电力电池机房,12#开关电源蓄电池组,30,5,2.1313867731540532,0.16666666666666666
1-D203电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼D203电力电池机房,6#开关电源蓄电池组,48,8,1.338896774219589,0.16666666666666666
2-J301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心2号楼J301电力电池机房,01#开关电源蓄电池组,48,5,3.980433430266914,0.10416666666666667
1-J301电池室放电电池数据表.xlsx,DC11,咸阳秦都西咸数据中心1号楼J301电力电池机房,11#开关电源蓄电池组,45,4,7.494280311197207,0.08888888888888889
1-J301电池室放电电池数据表.xlsx,DC8,咸阳秦都西咸数据中心1号楼J301电力电池机房,08#开关电源蓄电池组,48,4,5.397826327498651,0.08333333333333333
1-J301电池室放电电池数据表.xlsx,DC14,咸阳秦都西咸数据中心1号楼J301电力电池机房,14#开关电源蓄电池组,46,3,1.7178220719663981,0.06521739130434782
1-D303电池室放电电池数据表.xlsx,DC6,咸阳秦都西咸数据中心1号楼D303电力电池机房,6#开关电源蓄电池组,48,3,1.3989267957918883,0.0625
1-D201电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D201电力电池机房,4#开关电源蓄电池组,47,2,1.205997977076001,0.0425531914893617
1-J301电池室放电电池数据表.xlsx,DC7,咸阳秦都西咸数据中心1号楼J301电力电池机房,07#开关电源蓄电池组,48,2,3.5482294426715892,0.041666666666666664
1-D301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D301电力电池机房,1#开关电源蓄电池组,33,1,1.3951005762607254,0.030303030303030304
1-J301电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼J301电力电池机房,01#开关电源蓄电池组,48,0,1.0928689482884508,0.0
1-J301电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼J301电力电池机房,04#开关电源蓄电池组,45,0,1.0791218126996127,0.0
1-D301电池室放电电池数据表.xlsx,DC4,咸阳秦都西咸数据中心1号楼D301电力电池机房,4#开关电源蓄电池组,35,0,0.928424515158164,0.0
1-D201电池室放电电池数据表.xlsx,DC1,咸阳秦都西咸数据中心1号楼D201电力电池机房,1#开关电源蓄电池组,39,0,0.7901880235017544,0.0
