series_id,省,市,站点,楼栋,机房,设备类型,设备,测点类型,监控量,上报时间,上报值,单位,__file,__sheet,监控值,组别,测点编码,n_points,duration_s,window_found,v_min,v_max,v_range,label,anomaly_original,is_far,is_knn_high,knn_score,cluster_dist,best_shift,v_mean,d2_std,zigzag,shift_abs,dbscan_eps,dbscan_noise_ratio,dbscan_clusters,hard_anomaly,similarity_group,similarity_keep,anomaly
咸阳秦都西咸数据中心1号楼J301电力电池机房|10#开关电源蓄电池组|第1组|第1组单体6电池电压|1-J301电池室放电电池数据表.xlsx|DC10|DC10,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,10#开关电源蓄电池组,单体XX电压,第1组单体6电池电压,2025-07-09T02:43:36,3.32,V,1-J301电池室放电电池数据表.xlsx,DC10,3.32,第1组,DC10,24,1701.0,False,0.0,3.32,-3.160722941586413,-1,True,True,True,9.491740532417369,9.491740532417369,7,26.074399550135894,-0.37843675689407275,0.8858840604285808,4.52970043850866,1.0763127160481123,0.060072815533980584,7,True,0.04397096638108281,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|09#开关电源蓄电池组|第1组|第1组单体7电池电压|1-J301电池室放电电池数据表.xlsx|DC9|DC9,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,09#开关电源蓄电池组,单体XX电压,第1组单体7电池电压,2025-07-09T02:13:03,2.211,V,1-J301电池室放电电池数据表.xlsx,DC9,2.211,第1组,DC9,29,4290.0,True,0.0,3.395,3.648016378668508,-1,True,True,True,8.7037189502576,8.7037189502576,-7,22.60899687020578,2.09593334599666,-0.5977315418187545,-3.9733428851405557,1.0763127160481123,0.060072815533980584,7,True,-0.7980825436434031,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|11#开关电源蓄电池组|第1组|第1组单体10电池电压|1-J301电池室放电电池数据表.xlsx|DC11|DC11,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,11#开关电源蓄电池组,单体XX电压,第1组单体10电池电压,2025-07-08T02:35:50,2.116,V,1-J301电池室放电电池数据表.xlsx,DC11,2.116,第1组,DC11,26,2381.0,True,0.0,3.424,-9.881193166597903,-1,True,True,True,7.494280311197207,7.494280311197207,-4,31.363356132027018,-0.34111998144990907,0.7396503624844663,5.536191638114241,1.0763127160481123,0.060072815533980584,7,True,-0.18412607378737883,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|11#开关电源蓄电池组|第2组|第2组单体17电池电压|1-J301电池室放电电池数据表.xlsx|DC11|DC11,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,11#开关电源蓄电池组,单体XX电压,第2组单体17电池电压,2025-07-08T02:32:29,3.298,V,1-J301电池室放电电池数据表.xlsx,DC11,3.298,第2组,DC11,29,1308.0,True,0.0,3.387,-5.034869989137944,-1,True,True,True,6.722714264411403,6.722714264411403,3,33.81734163115118,-0.8957593276536047,-2.2642927198728344,-5.502745564744864,1.0763127160481123,0.060072815533980584,7,True,0.021925492751403954,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|10#开关电源蓄电池组|第1组|第1组单体2电池电压|1-J301电池室放电电池数据表.xlsx|DC10|DC10,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,10#开关电源蓄电池组,单体XX电压,第1组单体2电池电压,2025-07-09T02:44:46,0.0,V,1-J301电池室放电电池数据表.xlsx,DC10,0.0,第1组,DC10,21,855.0,True,0.0,3.245,-5.208906523070924,-1,True,False,True,5.9935878427543425,5.9935878427543425,6,31.174235927027606,-2.1183936309587805,-0.9759385556549707,-2.5682640266319545,1.0763127160481123,0.060072815533980584,7,True,0.09381396884985793,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|09#开关电源蓄电池组|第1组|第1组单体10电池电压|1-J301电池室放电电池数据表.xlsx|DC9|DC9,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,09#开关电源蓄电池组,单体XX电压,第1组单体10电池电压,2025-07-09T02:17:07,2.266,V,1-J301电池室放电电池数据表.xlsx,DC9,2.266,第1组,DC9,29,1474.0,True,0.0,3.38,-11.174505459055277,-1,True,False,True,5.939929406894621,5.939929406894621,7,39.73056541808367,-2.9929472021593684,-0.27580303919075055,-2.298748472396041,1.0763127160481123,0.060072815533980584,7,True,0.34909052595572654,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|09#开关电源蓄电池组|第1组|第1组单体2电池电压|1-J301电池室放电电池数据表.xlsx|DC9|DC9,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,09#开关电源蓄电池组,单体XX电压,第1组单体2电池电压,2025-07-09T02:17:24,2.313,V,1-J301电池室放电电池数据表.xlsx,DC9,2.313,第1组,DC9,26,4282.0,True,0.0,3.286,5.3007874661424115,-1,True,False,True,5.90558096116497,5.90558096116497,-7,17.276268323367628,1.9190809579364232,-0.677918396864603,-3.736259889592555,1.0763127160481123,0.060072815533980584,7,True,-0.8516460414941054,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|10#开关电源蓄电池组|第2组|第2组单体20电池电压|1-J301电池室放电电池数据表.xlsx|DC10|DC10,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,10#开关电源蓄电池组,单体XX电压,第2组单体20电池电压,2025-07-09T02:35:19,0.0,V,1-J301电池室放电电池数据表.xlsx,DC10,0.0,第2组,DC10,29,1483.0,True,0.0,3.31,-12.587897080483037,-1,True,False,True,5.876845518169657,5.876845518169657,7,38.60776799930183,-2.00762439396085,0.6133459772078449,0.13822984855774198,1.0763127160481123,0.060072815533980584,7,True,0.26319607005030954,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|08#开关电源蓄电池组|第2组|第2组单体18电池电压|1-J301电池室放电电池数据表.xlsx|DC8|DC8,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,08#开关电源蓄电池组,单体XX电压,第2组单体18电池电压,2025-07-09T02:14:44,2.687,V,1-J301电池室放电电池数据表.xlsx,DC8,2.687,第2组,DC8,35,9862.0,True,0.0,3.33,-5.996105115434,-1,True,False,True,5.397826327498651,5.397826327498651,7,31.371637331418643,-0.6771678894390599,0.19168264337784058,-0.6439659835925882,1.0763127160481123,0.060072815533980584,7,True,0.37648785737206664,False,True
咸阳秦都西咸数据中心1号楼J301电力电池机房|09#开关电源蓄电池组|第1组|第1组单体4电池电压|1-J301电池室放电电池数据表.xlsx|DC9|DC9,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,09#开关电源蓄电池组,单体XX电压,第1组单体4电池电压,2025-07-09T02:17:33,2.402,V,1-J301电池室放电电池数据表.xlsx,DC9,2.402,第1组,DC9,25,1971.0,True,0.0,3.395,-10.056498533306106,-1,True,False,True,4.657309223438048,4.657309223438048,7,37.66521441261612,-2.925148550463022,-0.05675772111996957,-0.5060481692494031,1.0763127160481123,0.060072815533980584,7,True,0.38590986793141757,False,True
