series_id,省,市,站点,楼栋,机房,设备类型,设备,测点类型,监控量,上报时间,上报值,单位,__file,__sheet,监控值,组别,测点编码,n_points,duration_s,window_found,v_min,v_max,v_range,label,anomaly_original,is_far,is_knn_high,knn_score,cluster_dist,best_shift,v_mean,d2_std,zigzag,shift_abs,dbscan_eps,dbscan_noise_ratio,dbscan_clusters,hard_anomaly,similarity_group,similarity_keep,anomaly
咸阳秦都西咸数据中心2号楼D203电力电池机房|12#UPS蓄电池组1|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,12#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T00:31:09,545.1,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,545.1,未知组,Sheet1,19,2213.0,False,476.5,545.1,0.7543014372591361,-1,True,True,True,2.966210490861908,2.966210490861908,-7,-4.7076733156919355,-0.3139768323463385,0.14672557314410445,0.047957432310327994,3.972854246441122,0.13043478260869565,1,False,,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组2|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T00:29:29,482.5,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,482.5,未知组,Sheet1,20,2053.0,False,477.3,543.8,0.5112311574847175,-1,True,False,False,2.9038378030684617,2.9038378030684617,-7,-4.6977177060731545,-0.17226470485374112,-0.00015919745458890761,0.04111103378378995,3.972854246441122,0.13043478260869565,1,False,,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|12#UPS蓄电池组2|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,12#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T00:54:29,522.8,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,522.8,未知组,Sheet1,21,2145.0,False,476.3,544.8,0.7119067153515778,-1,True,False,False,2.898371016550259,2.898371016550259,-7,-4.633570654562011,-0.23592764447806142,-0.06301595202959208,-0.062259084380946426,3.972854246441122,0.13043478260869565,1,False,,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|9#UPS蓄电池组1|未知组|电池组总电压|2-203电池室（7、9）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,9#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-07T03:02:25,554.1,V,2-203电池室（7、9）.xlsx,Sheet1,554.1,未知组,Sheet1,57,16972.0,False,478.0,556.0,0.04846268724890018,0,False,False,False,1.199029782670825,1.8707764745678055,1,2.449168308541495,-0.5928502496572987,-0.176538626710715,0.0032634646226775608,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|7#UPS蓄电池组2|未知组|电池组总电压|2-203电池室（7、9）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,7#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T03:48:45,544.7,V,2-203电池室（7、9）.xlsx,Sheet1,544.7,未知组,Sheet1,36,14070.0,False,481.3,555.0,-0.4618836343764107,0,False,False,False,1.1549635554619107,1.0854556282874641,0,1.225082937712759,-0.6604132927567085,-0.3984459794314178,0.36221998795834087,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|10#UPS蓄电池组2|未知组|电池组总电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,10#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T02:47:32,553.4,V,2-203电池室（8、10）.xlsx,Sheet1,553.4,未知组,Sheet1,64,17477.0,False,474.0,556.5,1.0104711504420005,0,False,False,False,1.0881109804981333,2.116232864805999,7,2.4986333869826898,0.155569561881346,0.060476283275125546,-0.03698091044261371,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|9#UPS蓄电池组2|未知组|电池组总电压|2-203电池室（7、9）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,9#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T03:50:29,555.7,V,2-203电池室（7、9）.xlsx,Sheet1,555.7,未知组,Sheet1,60,16260.0,False,478.0,556.5,0.42983547830700214,0,False,False,False,1.0743450613556815,0.9452791814847897,3,1.1990007971955081,-0.4560878239474341,-0.3060349876065963,0.18192070755427414,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|4#UPS蓄电池组1|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,4#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T00:00:02,543.3,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,543.3,未知组,Sheet1,22,3971.0,False,477.0,543.4,-0.8412770417410425,0,False,False,False,1.0004832728157351,1.3258991169754084,-1,-0.06287796844222472,-0.2491172474971915,-0.7047051083287424,-0.22448095603146795,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|3#UPS蓄电池组2|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,3#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T00:26:25,506.5,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,506.5,未知组,Sheet1,22,3671.0,False,469.9,542.8,-0.3896033140886207,0,False,False,False,0.9959175689356774,0.9436796875892007,1,0.9497119011517359,-0.5852306028706356,0.48790104443098803,-0.34253862542768926,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|10#UPS蓄电池组1|未知组|电池组总电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,10#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T02:46:02,553.2,V,2-203电池室（8、10）.xlsx,Sheet1,553.2,未知组,Sheet1,70,17477.0,False,474.2,556.3,1.0910414993230844,0,False,False,False,0.9385938822541227,1.8015788697035484,7,2.044166334216152,0.053066766354199726,0.1445382532253713,0.07507008341879741,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|3#UPS蓄电池组1|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,3#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-07T00:33:44,528.0,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,528.0,未知组,Sheet1,22,3703.0,False,469.6,542.3,-0.40172591239489613,0,False,False,False,0.9345588463204857,0.852660985783136,1,0.7986252704603906,-0.5661997431368533,0.3630412374425439,-0.3595847683612368,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|8#UPS蓄电池组2|未知组|电池组总电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,8#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T05:09:26,554.2,V,2-203电池室（8、10）.xlsx,Sheet1,554.2,未知组,Sheet1,65,15499.0,False,474.7,556.2,0.9914985033131364,0,False,False,False,0.928718727895646,1.8429124077922634,7,2.1835152100232214,0.13662410157366622,0.033496786698787875,0.027891126972714335,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|1#UPS蓄电池组2|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,1#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T00:27:55,521.1,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,521.1,未知组,Sheet1,23,3382.0,False,477.1,542.6,-1.0682001542106514,0,False,False,False,0.9225995337816955,1.510421479700834,1,-0.3811423484793738,-0.34245063600383235,-0.021866692091776756,0.15699818428173082,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|8#UPS蓄电池组1|未知组|电池组总电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,8#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T05:09:22,556.0,V,2-203电池室（8、10）.xlsx,Sheet1,556.0,未知组,Sheet1,65,17469.0,False,474.3,556.2,1.0283929610862683,0,False,False,False,0.9141433818479097,1.6812094775758903,7,1.945940214416697,0.09763450506017488,0.034302609231698616,0.0530332102354186,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|11#UPS蓄电池组2|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,11#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-07T00:29:02,543.1,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,543.1,未知组,Sheet1,20,4124.0,False,472.2,543.4,0.08810138125297247,0,False,False,False,0.807121647437568,0.9706274860203448,-7,0.0757832267350149,0.5206271404356106,-0.4639923660876375,-0.2638061083667177,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|1#UPS蓄电池组1|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,1#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-07T00:26:28,513.4,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,513.4,未知组,Sheet1,21,2954.0,False,478.2,542.9,-0.6638131727155632,0,False,False,False,0.8044253037216909,1.6248569872618177,6,-0.7461825456831052,0.4879883697871004,-0.10049060900203867,0.1008734085039169,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|4#UPS蓄电池组2|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,4#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T01:03:53,538.9,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,538.9,未知组,Sheet1,22,3830.0,False,477.3,543.6,-0.7887803390451886,0,False,False,False,0.7742990163199461,0.9147099516640664,-2,0.255011173665241,-0.26070431064750027,0.2375144110256521,0.11888980899058492,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|11#UPS蓄电池组1|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,11#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-07T00:29:27,480.5,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,480.5,未知组,Sheet1,21,4147.0,False,471.6,542.8,0.0771250114022521,0,False,False,False,0.729895777284733,0.7789975294106785,-7,0.15942376659594928,0.47868948188782956,-0.2124193674936188,-0.20697838356409018,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|2#UPS蓄电池组2|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,2#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T00:08:49,483.0,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,483.0,未知组,Sheet1,19,3110.0,False,476.1,542.3,-0.5457847971627654,0,False,False,False,0.6754956160803938,0.9716744371206646,6,0.14127554269097992,0.3822601146401149,0.5404136024614831,0.11556108644098292,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|6#UPS蓄电池组1|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,6#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T00:51:57,517.8,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,517.8,未知组,Sheet1,20,3933.0,False,477.6,543.3,-0.36152949971977916,0,False,False,False,0.6477553384903477,1.2612750252006153,-7,-0.3388572644839586,0.6067698200620395,-0.28170231887669,0.18806790880726199,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|6#UPS蓄电池组2|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,6#UPS蓄电池组2,电池组总电压,电池组总电压,2026-01-14T00:31:06,497.6,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,497.6,未知组,Sheet1,20,2762.0,False,476.0,543.7,-0.3684374624983059,0,False,False,False,0.6325890514076364,1.2441724775542786,-7,-0.29558891198445003,0.6552678011704981,-0.2748127511896743,-0.15502137267819208,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|2#UPS蓄电池组1|未知组|电池组总电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,2#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-14T00:33:50,527.9,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,527.9,未知组,Sheet1,21,3079.0,False,473.7,542.0,-0.4364217061162992,0,False,False,False,0.625940444749393,0.9680793296787984,6,0.018586405426970036,0.33287282755192016,0.5079288179269041,0.07568280482893061,3.972854246441122,0.13043478260869565,1,False,,False,False
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组1|未知组|电池组总电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组1,电池组总电压,电池组总电压,2026-01-07T00:30:07,476.7,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,476.7,未知组,Sheet1,22,2955.0,False,476.7,543.2,-0.4149109484015268,0,False,False,False,0.6128441546392068,1.0811387915391055,-7,-0.08031376041459026,0.5278525977910964,0.44784533744042837,0.10310996054320481,3.972854246441122,0.13043478260869565,1,False,,False,False
