__file,__sheet,机房,设备,total_series,anomaly_series,max_knn,anomaly_ratio
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,12#UPS蓄电池组1,1,1,2.966210490861908,1.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,5#UPS蓄电池组2,1,1,2.9038378030684617,1.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,12#UPS蓄电池组2,1,1,2.898371016550259,1.0
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组1,1,0,1.199029782670825,0.0
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,1,0,1.1549635554619107,0.0
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,10#UPS蓄电池组2,1,0,1.0881109804981333,0.0
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组2,1,0,1.0743450613556815,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,4#UPS蓄电池组1,1,0,1.0004832728157351,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,3#UPS蓄电池组2,1,0,0.9959175689356774,0.0
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,10#UPS蓄电池组1,1,0,0.9385938822541227,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,3#UPS蓄电池组1,1,0,0.9345588463204857,0.0
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,8#UPS蓄电池组2,1,0,0.928718727895646,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,1#UPS蓄电池组2,1,0,0.9225995337816955,0.0
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,8#UPS蓄电池组1,1,0,0.9141433818479097,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,11#UPS蓄电池组2,1,0,0.807121647437568,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,1#UPS蓄电池组1,1,0,0.8044253037216909,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,4#UPS蓄电池组2,1,0,0.7742990163199461,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,11#UPS蓄电池组1,1,0,0.729895777284733,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,2#UPS蓄电池组2,1,0,0.6754956160803938,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,6#UPS蓄电池组1,1,0,0.6477553384903477,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,6#UPS蓄电池组2,1,0,0.6325890514076364,0.0
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,2#UPS蓄电池组1,1,0,0.625940444749393,0.0
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,5#UPS蓄电池组1,1,0,0.6128441546392068,0.0
