__file,__sheet,机房,设备,total_series,anomaly_series,max_knn,anomaly_ratio
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,2#UPS蓄电池组1,240,42,1.11035935211779,0.175
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,2#UPS蓄电池组2,240,29,0.8033132489277336,0.12083333333333333
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,10#UPS蓄电池组2,240,22,1.017653350987528,0.09166666666666666
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,5#UPS蓄电池组2,240,20,1.4292145448287812,0.08333333333333333
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,8#UPS蓄电池组1,240,18,0.9548206439347395,0.075
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,6#UPS蓄电池组2,240,17,0.6639747436485629,0.07083333333333333
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组2,234,16,0.8026082433503064,0.06837606837606838
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,5#UPS蓄电池组1,240,16,1.409554564758465,0.06666666666666667
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,8#UPS蓄电池组2,240,14,0.7881880281873029,0.058333333333333334
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,11#UPS蓄电池组1,240,12,3.7758522936853893,0.05
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,11#UPS蓄电池组2,240,12,3.439247994553985,0.05
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,6#UPS蓄电池组1,240,11,3.5806612906175044,0.04583333333333333
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,240,10,0.9107805086811085,0.041666666666666664
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,12#UPS蓄电池组1,228,9,0.8202348998335425,0.039473684210526314
2-203电池室（8、10）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,10#UPS蓄电池组1,240,7,2.059348766149352,0.029166666666666667
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,12#UPS蓄电池组2,240,7,0.7833061458031403,0.029166666666666667
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,3#UPS蓄电池组1,240,6,0.9956129626052159,0.025
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,3#UPS蓄电池组2,240,6,0.8765857103756267,0.025
2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组1,240,5,0.89872461077468,0.020833333333333332
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,1#UPS蓄电池组1,240,4,0.7375774859065589,0.016666666666666666
2-D203（1、3、5、11#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,1#UPS蓄电池组2,240,2,1.113643183283546,0.008333333333333333
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,4#UPS蓄电池组2,240,1,0.8539700251073041,0.004166666666666667
2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,4#UPS蓄电池组1,240,1,0.5294592350172092,0.004166666666666667
