series_id,省,市,站点,楼栋,机房,设备类型,设备,测点类型,监控量,上报时间,上报值,单位,__file,__sheet,监控值,组别,测点编码,n_points,duration_s,window_found,v_min,v_max,v_range,label,anomaly_original,is_far,is_knn_high,knn_score,cluster_dist,best_shift,v_mean,d2_std,zigzag,shift_abs,dbscan_eps,dbscan_noise_ratio,dbscan_clusters,hard_anomaly,similarity_group,similarity_keep,anomaly
咸阳秦都西咸数据中心2号楼D203电力电池机房|11#UPS蓄电池组1|未知组|72节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,11#UPS蓄电池组1,单体XX电压,72节电池电压,2026-01-07T00:41:09,1.735,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,1.735,未知组,Sheet1,11,1157.0,True,1.468,2.038,3.256955719707684,-1,True,True,True,3.7758522936853893,3.7758522936853893,7,1.6578949249812858,-0.5454434741649496,2.4433095325460146,-4.374998724327974,0.43764905766091355,0.06034169392948019,19,False,0.29602767138366143,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|6#UPS蓄电池组1|未知组|25节电池电压|2-D203电池室（2、4、6、12#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,6#UPS蓄电池组1,单体XX电压,25节电池电压,2026-01-14T00:00:02,1.923,V,2-D203电池室（2、4、6、12#UPS）.xlsx,Sheet1,1.923,未知组,Sheet1,7,173.0,True,1.682,1.751,-2.790024704831606,-1,True,False,True,3.5806612906175044,3.5806612906175044,7,-5.371216882535119,1.1640943316123176,-1.2249494814646706,-1.6361739863946942,0.43764905766091355,0.06034169392948019,19,False,-0.09797006610020695,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|11#UPS蓄电池组2|未知组|189节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,11#UPS蓄电池组2,单体XX电压,189节电池电压,2026-01-07T00:11:39,2.24,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,2.24,未知组,Sheet1,8,1233.0,True,1.687,2.323,3.267401586000204,-1,True,False,True,3.439247994553985,3.439247994553985,7,4.400979523489123,-0.43456359471110395,3.657414984641859,-3.0585627356831866,0.43764905766091355,0.06034169392948019,19,False,0.6640910576751893,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|10#UPS蓄电池组1|未知组|113节电池电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,10#UPS蓄电池组1,单体XX电压,113节电池电压,2026-01-14T02:14:11,2.232,V,2-203电池室（8、10）.xlsx,Sheet1,2.232,未知组,Sheet1,14,6929.0,False,1.711,2.232,0.3473114104258326,-1,True,False,True,2.059348766149352,2.059348766149352,-3,6.767837386452799,-1.484716856131163,1.2245914736535584,-0.8212100545910394,0.43764905766091355,0.06034169392948019,19,False,0.8041186225019261,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组2|未知组|24节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组2,单体XX电压,24节电池电压,2026-01-07T00:13:41,2.335,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,2.335,未知组,Sheet1,14,1499.0,True,2.04,2.414,2.662894496183685,-1,True,False,True,1.4292145448287812,1.4292145448287812,7,-0.03012160742802347,-0.1386918392616514,-0.9553523804148037,-0.006174464080434278,0.43764905766091355,0.06034169392948019,19,False,0.20985155808633163,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组1|未知组|185节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组1,单体XX电压,185节电池电压,2026-01-07T00:10:10,2.37,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,2.37,未知组,Sheet1,21,1682.0,True,2.092,2.409,-0.7770010254075047,-1,True,False,True,1.409554564758465,1.409554564758465,-7,4.183166739212023,0.1590781317520747,-1.930390010079271,0.9021872672909559,0.43764905766091355,0.06034169392948019,19,False,-0.35729221490059154,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|11#UPS蓄电池组1|未知组|20节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,11#UPS蓄电池组1,单体XX电压,20节电池电压,2026-01-07T00:35:17,1.821,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,1.821,未知组,Sheet1,7,1052.0,True,1.688,2.007,0.4097180816442727,-1,True,False,True,1.3799550355978063,1.3799550355978063,7,-2.0418040219218043,0.4248641754247752,1.010669324222987,-2.4657082810002913,0.43764905766091355,0.06034169392948019,19,False,0.38520909963257394,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组1|未知组|192节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组1,单体XX电压,192节电池电压,2026-01-07T00:06:02,2.398,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,2.398,未知组,Sheet1,16,1099.0,True,2.013,2.396,0.5258512912767029,-1,True,False,True,1.3056357384616926,1.3056357384616926,1,3.1743794077848775,-2.001832624780672,-0.9166295537496839,0.5559304164004178,0.43764905766091355,0.06034169392948019,19,False,-0.2245684489526631,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|10#UPS蓄电池组1|未知组|227节电池电压|2-203电池室（8、10）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,10#UPS蓄电池组1,单体XX电压,227节电池电压,2026-01-14T01:15:42,2.096,V,2-203电池室（8、10）.xlsx,Sheet1,2.096,未知组,Sheet1,6,882.0,True,1.74,1.998,-0.207936152760364,-1,True,False,True,1.264512108823837,1.264512108823837,7,-3.0427034080496806,0.6243962863570064,0.5505005984956619,-2.1044215859545177,0.43764905766091355,0.06034169392948019,19,False,-0.11424915454473214,False,True
咸阳秦都西咸数据中心2号楼D203电力电池机房|5#UPS蓄电池组2|未知组|211节电池电压|2-D203（1、3、5、11#UPS）.xlsx|Sheet1|Sheet1,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心2号楼站点,咸阳秦都西咸数据中心2号楼D203电力电池机房,铅酸电池,5#UPS蓄电池组2,单体XX电压,211节电池电压,2026-01-07T00:29:11,2.105,V,2-D203（1、3、5、11#UPS）.xlsx,Sheet1,2.105,未知组,Sheet1,14,1457.0,True,2.105,2.357,-0.7337473720280433,-1,True,False,True,1.2466529855510262,1.2466529855510262,0,0.35600402222690536,-1.839337381143122,-1.5305360641887666,1.2005257068075925,0.43764905766091355,0.06034169392948019,19,False,-0.3005288733488548,False,True
