plot_name,source_file,source_sheet,room,device,group_name,measure_name,valley_x,start_level,valley_level,end_level,drop,recover,recover_ratio,pre_down_ratio,post_up_ratio,sign_change_ratio,dynamic_range,end_drop,shape_class,shape_class_cn,reason,src_path,copied_path
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__1节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,1节电池电压,0.23889739663093415,0.9825429153291374,0.01066821840748249,0.8016196295186045,0.971874696921655,0.7909514111111221,0.813840933201126,0.2692307692307692,0.125,0.009708737864077669,0.4155755988732951,0.19605275918841658,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__1节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__1节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__209节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,209节电池电压,0.22358346094946402,0.47151675484892386,0.0012345679012315193,0.8317166372701392,0.47028218694769236,0.8304820693689077,1.765922866424358,0.2191780821917808,0.22924901185770752,0.01744186046511628,0.5945091122854226,0.16064079952929167,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__209节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__209节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__210节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,210节电池电压,0.22358346094946402,0.4828431372537184,0.002859477124175998,0.835463352005422,0.4799836601295424,0.832603874881246,1.734650452313074,0.2191780821917808,0.25691699604743085,0.016129032258064516,0.5524743230612044,0.15695028011166,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__210节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__210节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__218节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,218节电池电压,0.22358346094946402,0.4909617409605347,0.003159003158995397,0.8246753246732983,0.48780273780153927,0.8215163215143029,1.684115844721679,0.2191780821917808,0.2845849802371542,0.023923444976076555,0.52156312156184,0.16543816543775913,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__218节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__218节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__225节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,225节电池电压,0.20673813169984687,0.5063638358557567,0.0038402457757207974,0.5255102040804218,0.5025235900800359,0.521669958304701,1.038100434615448,0.23703703703703705,0.19729206963249515,0.0106951871657754,0.44381171823465876,0.46505376343978866,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__225节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__225节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__3节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,3节电池电压,0.21898928024502298,0.46615581098220654,0.03022562792670015,0.8503922641831956,0.4359301830555064,0.8201666362564954,1.881417406398417,0.2097902097902098,0.30844793713163066,0.014018691588785047,0.5584990573482054,0.13458614608005504,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__3节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__3节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__42节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,7#UPS蓄电池组2,未知组,42节电池电压,0.43797856049004597,0.9108446298183,0.03116672459722987,0.97416290116546,0.87967790522107,0.9429961765682301,1.0719789253536711,0.13986013986013987,0.3743169398907104,0.005681818181818182,0.7168578380222328,-0.0049820414783677824,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__42节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__7#UPS蓄电池组2__未知组__42节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__202节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组1,未知组,202节电池电压,0.222052067381317,0.9975914080358608,0.017294479980989784,0.8385058832792214,0.980296928054871,0.8212114032982316,0.8377170007968731,0.22758620689655173,0.09072978303747535,0.01282051282051282,0.341735765615229,0.16149411671746194,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__202节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__202节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__218节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组1,未知组,218节电池电压,0.22358346094946402,0.9951758481137722,0.010659819483314058,0.7968409586030605,0.9845160286304582,0.7861811391197464,0.7985457986040537,0.2328767123287671,0.09090909090909091,0.012658227848101266,0.39638966697660694,0.20238095238029075,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__218节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__218节电池电压.png
单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__58节电池电压.png,2-203电池室（7、9）.xlsx,Sheet1,咸阳秦都西咸数据中心2号楼D203电力电池机房,9#UPS蓄电池组1,未知组,58节电池电压,0.4900459418070444,0.9305816135049507,0.008308764406294205,0.9818189940104319,0.9222728490986565,0.9735102296041377,1.0555555544110404,0.1375,0.23795180722891565,0.00819672131147541,0.8901098901065501,-0.004065040650391261,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_ups_型号1/plots/单体XX电压/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__58节电池电压.png,/mnt/nvme/projects/battery/output_ups_型号1/plots_三分类/单体XX电压/放电型异常/单体XX电压__2-203电池室（7、9）.xlsx__Sheet1__咸阳秦都西咸数据中心2号楼D203电力电池机房__9#UPS蓄电池组1__未知组__58节电池电压.png
