series_id,省,市,站点,楼栋,机房,设备类型,设备,测点类型,监控量,上报时间,上报值,单位,__file,__sheet,监控值,组别,测点编码,n_points,duration_s,window_found,v_min,v_max,v_range,best_shift,valley_x,start_level,valley_level,end_level,drop,recover,recover_ratio,pre_down_ratio,post_up_ratio,sign_change_ratio,dynamic_range,end_drop,shape_class,shape_class_cn,reason,generated_plot
咸阳秦都西咸数据中心1号楼D203电力电池机房|2#开关电源蓄电池组|第1组|第1组单体11电池电压|1-D203电池室放电电池数据表.xlsx|DC2|DC2,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼D203电力电池机房,铅酸电池,2#开关电源蓄电池组,单体XX电压,第1组单体11电池电压,2025-07-11T00:44:06,2.765,V,1-D203电池室放电电池数据表.xlsx,DC2,2.765,第1组,DC2,28,2893.0,False,2.044,3.038,0.9939999999999998,7,0.5666666666666667,0.19032113170726436,0.008172241395801852,0.5548887983236238,0.1821488903114625,0.546716556927822,3.001481661466569,0.20588235294117646,0.84,0.06451612903225806,0.4267103316667279,0.08625543449894468,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-D203电池室放电电池数据表.xlsx__DC2__咸阳秦都西咸数据中心1号楼D203电力电池机房__2#开关电源蓄电池组__第1组__第1组单体11电池电压.png
咸阳秦都西咸数据中心1号楼D203电力电池机房|2#开关电源蓄电池组|第1组|第1组单体16电池电压|1-D203电池室放电电池数据表.xlsx|DC2|DC2,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼D203电力电池机房,铅酸电池,2#开关电源蓄电池组,单体XX电压,第1组单体16电池电压,2025-07-11T00:44:46,2.769,V,1-D203电池室放电电池数据表.xlsx,DC2,2.769,第1组,DC2,24,2893.0,False,2.008,2.829,0.8210000000000002,7,0.5666666666666667,0.3791656796840309,0.010887065224209213,0.6028625241162223,0.3682786144598217,0.5919754588920131,1.6074119811515262,0.20588235294117646,0.84,0.06451612903225806,0.4549001799615124,0.047947023475564565,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-D203电池室放电电池数据表.xlsx__DC2__咸阳秦都西咸数据中心1号楼D203电力电池机房__2#开关电源蓄电池组__第1组__第1组单体16电池电压.png
咸阳秦都西咸数据中心1号楼D203电力电池机房|2#开关电源蓄电池组|第1组|第1组单体9电池电压|1-D203电池室放电电池数据表.xlsx|DC2|DC2,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼D203电力电池机房,铅酸电池,2#开关电源蓄电池组,单体XX电压,第1组单体9电池电压,2025-07-11T00:44:46,2.789,V,1-D203电池室放电电池数据表.xlsx,DC2,2.789,第1组,DC2,22,2893.0,False,2.076,2.844,0.7679999999999998,7,0.5666666666666667,0.27141448547608066,0.010111273330282076,0.5901980026667916,0.2613032121457986,0.5800867293365095,2.219975492658179,0.20588235294117646,0.84,0.06451612903225806,0.4503752209736926,0.05149849034610565,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-D203电池室放电电池数据表.xlsx__DC2__咸阳秦都西咸数据中心1号楼D203电力电池机房__2#开关电源蓄电池组__第1组__第1组单体9电池电压.png
咸阳秦都西咸数据中心1号楼D203电力电池机房|2#开关电源蓄电池组|第2组|第2组单体16电池电压|1-D203电池室放电电池数据表.xlsx|DC2|DC2,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼D203电力电池机房,铅酸电池,2#开关电源蓄电池组,单体XX电压,第2组单体16电池电压,2025-07-11T00:41:34,2.182,V,1-D203电池室放电电池数据表.xlsx,DC2,2.182,第2组,DC2,21,2788.0,False,2.018,2.799,0.7810000000000001,6,0.5833333333333334,0.21920078213087624,0.013843594720157976,0.7160710725927262,0.20535718741071826,0.7022274778725682,3.41954174240105,0.2,0.9166666666666666,0.06666666666666667,0.44883395822359706,-0.11673035907795049,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-D203电池室放电电池数据表.xlsx__DC2__咸阳秦都西咸数据中心1号楼D203电力电池机房__2#开关电源蓄电池组__第2组__第2组单体16电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|07#开关电源蓄电池组|第1组|第1组单体22电池电压|1-J301电池室放电电池数据表.xlsx|DC7|DC7,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,07#开关电源蓄电池组,单体XX电压,第1组单体22电池电压,2025-07-09T01:50:32,1.292,V,1-J301电池室放电电池数据表.xlsx,DC7,1.292,第1组,DC7,6,9859.0,False,1.157,1.317,0.15999999999999992,-7,0.5,0.8236448848629397,0.20863822227687445,0.9859186662582631,0.6150066625860653,0.7772804439813886,1.2638569466046354,0.9333333333333333,1.0,0.017857142857142856,0.5008807594906375,-0.01877511165564849,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC7__咸阳秦都西咸数据中心1号楼J301电力电池机房__07#开关电源蓄电池组__第1组__第1组单体22电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|07#开关电源蓄电池组|第1组|第1组单体23电池电压|1-J301电池室放电电池数据表.xlsx|DC7|DC7,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,07#开关电源蓄电池组,单体XX电压,第1组单体23电池电压,2025-07-09T01:28:44,3.081,V,1-J301电池室放电电池数据表.xlsx,DC7,3.081,第1组,DC7,11,9859.0,False,2.761,3.143,0.3819999999999997,7,0.5,0.8448631344840019,0.0010418236708240511,0.9979407584837294,0.8438213108131778,0.9968989348129054,1.1814099986059834,0.23333333333333334,0.27586206896551724,0.07142857142857142,0.6297629675578791,-0.0027456553550269103,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC7__咸阳秦都西咸数据中心1号楼J301电力电池机房__07#开关电源蓄电池组__第1组__第1组单体23电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|09#开关电源蓄电池组|第1组|第1组单体10电池电压|1-J301电池室放电电池数据表.xlsx|DC9|DC9,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,09#开关电源蓄电池组,单体XX电压,第1组单体10电池电压,2025-07-09T02:17:07,2.266,V,1-J301电池室放电电池数据表.xlsx,DC9,2.266,第1组,DC9,29,1474.0,True,0.0,3.38,3.38,7,0.38333333333333336,0.6693559732971558,0.0475170880546964,0.7394850992062988,0.6218388852424594,0.6919680111516024,1.1127770013433982,0.4782608695652174,0.6944444444444444,0.07142857142857142,0.6298012987844737,0.16558714582310874,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC9__咸阳秦都西咸数据中心1号楼J301电力电池机房__09#开关电源蓄电池组__第1组__第1组单体10电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|11#开关电源蓄电池组|第2组|第2组单体17电池电压|1-J301电池室放电电池数据表.xlsx|DC11|DC11,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,11#开关电源蓄电池组,单体XX电压,第2组单体17电池电压,2025-07-08T02:32:29,3.298,V,1-J301电池室放电电池数据表.xlsx,DC11,3.298,第2组,DC11,29,1308.0,True,0.0,3.387,3.387,3,0.6666666666666666,0.6915589005923883,0.06340216314086865,0.7397280586870311,0.6281567374515197,0.6763258955461624,1.0766833405518905,0.3,1.0,0.05555555555555555,0.5890441730600349,0.17568126049774613,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC11__咸阳秦都西咸数据中心1号楼J301电力电池机房__11#开关电源蓄电池组__第2组__第2组单体17电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|11#开关电源蓄电池组|第2组|第2组单体19电池电压|1-J301电池室放电电池数据表.xlsx|DC11|DC11,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,11#开关电源蓄电池组,单体XX电压,第2组单体19电池电压,2025-07-08T02:34:22,0.0,V,1-J301电池室放电电池数据表.xlsx,DC11,0.0,第2组,DC11,27,1308.0,True,0.0,3.409,3.409,2,0.6666666666666666,0.686418867512506,0.052188270739643466,0.7083085518478407,0.6342305967728625,0.6561202811081972,1.0345137611023523,0.275,1.0,0.05454545454545454,0.5727966625974208,0.21903123377083622,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC11__咸阳秦都西咸数据中心1号楼J301电力电池机房__11#开关电源蓄电池组__第2组__第2组单体19电池电压.png
咸阳秦都西咸数据中心1号楼J301电力电池机房|12#开关电源蓄电池组|第2组|第2组单体18电池电压|1-J301电池室放电电池数据表.xlsx|DC12|DC12,陕西省,咸阳,中国移动西咸数据中心,咸阳秦都西咸数据中心1号楼站点,咸阳秦都西咸数据中心1号楼J301电力电池机房,铅酸电池,12#开关电源蓄电池组,单体XX电压,第2组单体18电池电压,2025-07-08T02:36:26,1.771,V,1-J301电池室放电电池数据表.xlsx,DC12,1.771,第2组,DC12,22,1064.0,True,1.546,2.086,0.5399999999999998,7,0.5,0.6263032825859727,0.01301771039511844,0.31008063072329434,0.6132855721908542,0.2970629203281759,0.48437943645501347,0.7,0.9655172413793104,0.07142857142857142,0.6175933895687582,0.463260766105879,discharge_like,放电型异常,存在内部谷底，且谷底后有持续回升，形态接近放电曲线,/mnt/nvme/projects/battery/output_开关电源_原始三分类/单体XX电压/放电型异常/单体XX电压__1-J301电池室放电电池数据表.xlsx__DC12__咸阳秦都西咸数据中心1号楼J301电力电池机房__12#开关电源蓄电池组__第2组__第2组单体18电池电压.png
