series_id,省,市,机房,Unnamed: 3,设备类型,设备,测点类型,监控量,上报时间,上报值,单位,__file,__sheet,监控值,组别,测点编码,n_points,duration_s,window_found,v_min,v_max,v_range,label,anomaly_original,is_far,is_knn_high,knn_score,cluster_dist,best_shift,v_mean,d2_std,zigzag,shift_abs,dbscan_eps,dbscan_noise_ratio,dbscan_clusters,hard_anomaly,similarity_group,similarity_keep,anomaly
榆林府谷麻镇综合业务机房|开关电源铅酸电池-4（南都GFM-1000E）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷麻镇综合业务机房,,铅酸电池,开关电源铅酸电池-4（南都GFM-1000E）,电池组总电压,电池组总电压,2026-05-12T21:53:31,17.090502,V,榆林自维站点放电数据.xlsx,sheet,17.090502,未知组,sheet,23,13435.0,False,17.02203,17.172667,-1.8463526173119704,-1,True,True,True,48.75409054567368,48.75409054567368,-4,-60.4067269054973,-0.21524042248121478,0.42036939891661,-0.17032029936234833,2.53018511669798,0.0375,1,False,,False,True
榆林府谷邮政局06楼综合机房|开关电源铅酸电池-1（双登GFM-500）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷邮政局06楼综合机房,榆林府谷邮政局06楼综合机房,铅酸电池,开关电源铅酸电池-1（双登GFM-500）,电池组总电压,电池组总电压,2026-05-12T20:59:44,46.716213,V,榆林自维站点放电数据.xlsx,sheet,46.716213,未知组,sheet,38,8539.0,True,44.59698,53.720192,3.711323058370909,-1,True,False,False,4.597945230227466,4.597945230227466,7,-8.539178603403021,-0.1530343644808,-1.3351534992818836,0.17782835129000532,2.53018511669798,0.0375,1,False,,False,True
榆林府谷邮政局06楼综合机房|开关电源铅酸电池-2（双登GFM-500）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷邮政局06楼综合机房,榆林府谷邮政局06楼综合机房,铅酸电池,开关电源铅酸电池-2（双登GFM-500）,电池组总电压,电池组总电压,2026-05-12T20:23:33,44.70219,V,榆林自维站点放电数据.xlsx,sheet,44.70219,未知组,sheet,36,8511.0,True,44.79237,53.690132,3.7718904405868505,-1,True,False,False,4.531054124249941,4.531054124249941,7,-8.440687314878131,-0.15604711470974653,-1.1991190746864424,0.09557908793547032,2.53018511669798,0.0375,1,False,,False,True
榆林府谷二中01楼综合机房|开关电源铅酸电池-2（光宇GFM-500）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷二中01楼综合机房,,铅酸电池,开关电源铅酸电池-2（光宇GFM-500）,电池组总电压,电池组总电压,2026-05-12T18:09:51,53.41959,V,榆林自维站点放电数据.xlsx,sheet,53.41959,未知组,sheet,28,8272.0,True,48.62502,53.41959,0.942422638013297,0,False,False,False,2.9007143876213877,6.259286427678149,7,-5.144306888803719,0.3550553669220413,-0.12912343538098503,0.43126254599969416,2.53018511669798,0.0375,1,False,,False,False
榆林府谷二中01楼综合机房|开关电源铅酸电池-1（光宇GFM-500）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷二中01楼综合机房,,铅酸电池,开关电源铅酸电池-1（光宇GFM-500）,电池组总电压,电池组总电压,2026-05-12T18:50:31,50.20317,V,榆林自维站点放电数据.xlsx,sheet,50.20317,未知组,sheet,30,7847.0,True,48.89556,53.494743,0.7887747208775939,0,False,False,False,2.871916788495549,6.144372764256364,7,-5.047650358913404,0.36636175148315575,-0.22065521694080661,0.4283627400590845,2.53018511669798,0.0375,1,False,,False,False
榆林府谷新区综合业务机房|开关电源铅酸电池-3（南都GFM-1000E）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷新区综合业务机房,榆林府谷新区综合业务机房,铅酸电池,开关电源铅酸电池-3（南都GFM-1000E）,电池组总电压,电池组总电压,2026-05-12T19:25:12,55.530495,V,榆林自维站点放电数据.xlsx,sheet,55.530495,未知组,sheet,29,14058.0,False,50.06646,55.530495,2.9801338603594885,0,False,False,False,1.951227367053549,4.028559293685308,7,3.5147312592074966,0.1375222812260401,0.7707518539774252,-0.19673578850618595,2.53018511669798,0.0375,1,False,,False,False
榆林府谷新区综合业务机房|开关电源铅酸电池-1（双登GFM-1000）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷新区综合业务机房,榆林府谷新区综合业务机房,铅酸电池,开关电源铅酸电池-1（双登GFM-1000）,电池组总电压,电池组总电压,2026-05-12T18:55:47,55.91457,V,榆林自维站点放电数据.xlsx,sheet,55.91457,未知组,sheet,29,14058.0,False,52.71318,56.440617,1.4048967022939163,0,False,False,False,1.9453196250957914,4.427579687330987,0,4.899198324024864,-1.4928146971057328,-0.0443163741901319,-0.006961308899884944,2.53018511669798,0.0375,1,False,,False,False
榆林府谷新区综合业务机房|开关电源铅酸电池-4（南都GFM-1000E）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷新区综合业务机房,榆林府谷新区综合业务机房,铅酸电池,开关电源铅酸电池-4（南都GFM-1000E）,电池组总电压,电池组总电压,2026-05-12T19:15:00,55.722218,V,榆林自维站点放电数据.xlsx,sheet,55.722218,未知组,sheet,29,14058.0,False,50.217094,55.73591,2.8941897038157913,0,False,False,False,1.863826686758384,4.1370945727256405,7,3.8281702908219533,0.13357174950869805,0.5712671225413024,-0.16908398655684087,2.53018511669798,0.0375,1,False,,False,False
榆林府谷二中老城综合业务机房|开关电源铅酸电池-1（双登GFM-1000）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷二中老城综合业务机房,,铅酸电池,开关电源铅酸电池-1（双登GFM-1000）,电池组总电压,电池组总电压,2026-05-12T21:38:30,52.623,V,榆林自维站点放电数据.xlsx,sheet,52.623,未知组,sheet,39,14038.0,False,49.842453,53.765278,1.2826068157694994,0,False,False,False,1.800723032165476,4.011930315791644,-7,-2.7266165819546204,0.2352880766590345,-0.4999660926785932,-0.04453702235566303,2.53018511669798,0.0375,1,False,,False,False
榆林府谷温家峁01楼综合机房|开关电源铅酸电池-2（双登GFM-500）|未知组|电池组总电压|榆林自维站点放电数据.xlsx|sheet|sheet,陕西省,榆林,榆林府谷温家峁01楼综合机房,,铅酸电池,开关电源铅酸电池-2（双登GFM-500）,电池组总电压,电池组总电压,2026-05-12T21:21:08,55.95966,V,榆林自维站点放电数据.xlsx,sheet,55.95966,未知组,sheet,23,13429.0,False,55.94463,56.064873,-0.8131798971188765,0,False,False,False,1.798450036550249,4.099264222356182,-4,5.031643550777924,-0.18713592076749141,-0.043419801621427334,-0.010074187286159275,2.53018511669798,0.0375,1,False,,False,False
